"","N.obs.train.k.lmFE","ID","accuracy.out.lmFE"
"1",16,"1",0.758064516129032
"2",17,"1",0.761079774375504
"3",27,"1",0.785829307568438
"4",53,"1",0.774387796065837
"5",62,"1",0.765725806451613
"6",158,"1",0.774261603375527
"7",258,"1",0.758397932816537
"8",282,"1",0.754432624113475
"9",284,"1",0.780369718309859
"10",290,"1",0.762931034482759
"11",313,"1",0.764034687357371
"12",330,"1",0.767965367965368
"13",371,"1",0.76774483378257
"14",398,"1",0.772613065326633
"15",423,"1",0.784397163120567
"16",438,"1",0.772146118721461
"17",440,"1",0.784090909090909
"18",503,"1",0.774353876739563
"19",516,"1",0.771802325581395
"20",534,"1",0.76685393258427
"21",537,"1",0.772811918063315
"22",626,"1",0.770500532481363
"23",630,"1",0.787830687830688
"24",631,"1",0.774960380348653
"25",648,"1",0.762860082304527
"26",687,"1",0.779718583212033
"27",710,"1",0.763849765258216
"28",724,"1",0.773480662983425
"29",768,"1",0.769965277777778
"30",774,"1",0.757967269595177
"31",788,"1",0.774111675126903
"32",841,"1",0.760998810939358
"33",844,"1",0.752962085308057
"34",862,"1",0.776682134570766
"35",872,"1",0.760894495412844
"36",889,"1",0.78740157480315
"37",893,"1",0.776595744680851
"38",894,"1",0.78076062639821
"39",896,"1",0.77734375
"40",904,"1",0.769911504424779
"41",925,"1",0.758918918918919
"42",939,"1",0.763045793397231
"43",944,"1",0.753707627118644
"44",965,"1",0.794300518134715
"45",968,"1",0.770661157024793
"46",971,"1",0.772914521112255
"47",1044,"1",0.763409961685824
"48",1160,"1",0.763793103448276
"49",1214,"1",0.787479406919275
"50",1238,"1",0.769789983844911
"51",1247,"1",0.781074578989575
"52",1248,"1",0.771634615384615
"53",1255,"1",0.764940239043825
"54",1267,"1",0.774269928966062
"55",1279,"1",0.780297107114933
"56",1285,"1",0.756420233463035
"57",1294,"1",0.755023183925811
"58",1295,"1",0.765250965250965
"59",1303,"1",0.778204144282425
"60",1351,"1",0.766099185788305
"61",1410,"1",0.783687943262411
"62",1415,"1",0.756183745583039
"63",1420,"1",0.774647887323944
"64",1444,"1",0.783240997229917
"65",1447,"1",0.766413268832066
"66",1451,"1",0.796691936595451
"67",1464,"1",0.780737704918033
"68",1506,"1",0.757636122177955
"69",1512,"1",0.762566137566138
"70",1529,"1",0.779594506213211
"71",1548,"1",0.77390180878553
"72",1554,"1",0.768339768339768
"73",1562,"1",0.753521126760563
"74",1564,"1",0.762787723785166
"75",1573,"1",0.779402415766052
"76",1574,"1",0.764294790343075
"77",1575,"1",0.796825396825397
"78",1593,"1",0.779661016949153
"79",1612,"1",0.766129032258065
"80",1637,"1",0.766646304215027
"81",1645,"1",0.770212765957447
"82",1656,"1",0.772946859903382
"83",1658,"1",0.768998793727382
"84",1664,"1",0.780649038461538
"85",1696,"1",0.790683962264151
"86",1706,"1",0.759671746776084
"87",1716,"1",0.76981351981352
"88",1728,"1",0.778935185185185
"89",1766,"1",0.770668176670442
"90",1774,"1",0.767192784667418
"91",1792,"1",0.766741071428571
"92",1794,"1",0.783723522853958
"93",1914,"1",0.781086729362591
"94",1956,"1",0.763803680981595
"95",1958,"1",0.77732379979571
"96",1970,"1",0.785279187817259
"97",2040,"1",0.770098039215686
"98",2100,"1",0.781904761904762
"99",2120,"1",0.761320754716981
"100",2138,"1",0.765668849391955
"101",2232,"1",0.772401433691756
"102",2288,"1",0.771853146853147
"103",16,"0",0.885887096774194
"104",17,"0",0.8883964544722
"105",27,"0",0.89170692431562
"106",53,"0",0.881172219991971
"107",62,"0",0.886693548387097
"108",158,"0",0.883122362869198
"109",258,"0",0.877691645133506
"110",282,"0",0.889184397163121
"111",284,"0",0.891725352112676
"112",290,"0",0.877155172413793
"113",313,"0",0.897307165677773
"114",330,"0",0.889177489177489
"115",371,"0",0.881850853548967
