length.boot.weights,accuracy.Sup3,ID
16,0.950806452,1
21,0.947538337,1
38,0.958299595,1
178,0.955858748,1
198,0.964646465,1
224,0.963474026,1
252,0.962962963,1
270,0.963374486,1
327,0.962429008,1
375,0.956888889,1
421,0.9695962,1
422,0.963507109,1
537,0.962290503,1
634,0.965299685,1
649,0.961479199,1
654,0.961264016,1
684,0.962962963,1
836,0.965909091,1
848,0.965212264,1
854,0.964285714,1
859,0.971478463,1
865,0.960115607,1
923,0.969122427,1
1026,0.953216374,1
1247,0.96351243,1
1248,0.955929487,1
1267,0.970007893,1
1279,0.963252541,1
1282,0.957878315,1
1293,0.966744006,1
1299,0.970746728,1
1311,0.964912281,1
1356,0.967551622,1
1418,0.956981664,1
1481,0.96353815,1
1524,0.963910761,1
1534,0.958279009,1
1540,0.965584416,1
1579,0.960734642,1
1598,0.961827284,1
1612,0.960297767,1
1620,0.964197531,1
1664,0.959134615,1
1732,0.970554273,1
1794,0.960981048,1
1800,0.966666667,1
1812,0.966335541,1
1950,0.967692308,1
1956,0.961145194,1
2012,0.959244533,1
2120,0.966037736,1
2238,0.967381591,1
16,0.795967742,0
21,0.799435028,0
38,0.791497976,0
178,0.804574639,0
198,0.801346801,0
224,0.793019481,0
252,0.815696649,0
270,0.801234568,0
327,0.802533858,0
375,0.797777778,0
421,0.809026128,0
422,0.803317536,0
537,0.810521415,0
634,0.798107256,0
649,0.806882383,0
654,0.801732926,0
684,0.800194932,0
836,0.799043062,0
848,0.800707547,0
854,0.807962529,0
859,0.800931315,0
865,0.815606936,0
923,0.807692308,0
1026,0.786549708,0
1247,0.796311147,0
1248,0.797275641,0
1267,0.80347277,0
1279,0.820172009,0
1282,0.787051482,0
1293,0.808971384,0
1299,0.785989222,0
1311,0.806254767,0
1356,0.798672566,0
1418,0.793370945,0
1481,0.814989872,0
1524,0.795275591,0
1534,0.808344198,0
1540,0.805844156,0
1579,0.806839772,0
1598,0.7922403,0
1612,0.783498759,0
1620,0.798148148,0
1664,0.808894231,0
1732,0.795034642,0
1794,0.785395764,0
1800,0.793888889,0
1812,0.805187638,0
1950,0.805128205,0
1956,0.807770961,0
2012,0.7972167,0
2120,0.800471698,0
2238,0.802502234,0
