"","method.KM","len.train","accuracy.KM"
"1","KMps",2418,0.540178571428571
"2","KMps",2483,0.535042735042735
"3","KMps",2080,0.547389558232932
"4","KMps",2448,0.542753914090727
"5","KMps",2269,0.529766693483508
"6","KMps",2459,0.539452495974235
"7","KMps",2428,0.531262605889472
"8","KMps",2485,0.534210526315789
"9","KMps",2440,0.526464646464646
"10","KMps",2446,0.529387755102041
"11","KMps",2483,0.523349436392915
"12","KMps",2471,0.537173202614379
"13","KMps",2481,0.539915966386555
"14","KMps",2317,0.518459069020867
"15","KMps",2387,0.538244766505636
"16","KMps",2473,0.537603305785124
"17","KMps",2444,0.535539215686274
"18","KMps",2472,0.534219001610306
"19","KMps",2485,0.550434782608696
"20","KMps",2139,0.534510433386838
"21","KMps",2479,0.539583333333333
"22","KMps",2415,0.529032258064516
"23","KMps",2476,0.532072368421053
"24","KMps",1996,0.543086172344689
"25","KMps",2377,0.516545601291364
"26","KMps",2382,0.53620273531778
"27","KMps",2484,0.53446088794926
"28","KMps",2468,0.528985507246377
"29","KMps",2480,0.559493670886076
"30","KMps",2484,0.536918480580452
"31","KMps",2349,0.53505237711523
"32","KMps",2412,0.540160642570281
"33","KMps",2436,0.542776432606941
"34","KMps",2364,0.546404178384894
"35","KMps",2329,0.538152610441767
"36","KMps",2480,0.542250530785563
"37","KMps",2480,0.505660377358491
"38","KMps",2424,0.528370221327968
"39","KMps",2485,0.543347639484979
"40","KMps",2481,0.541332263242376
"41","KMps",2441,0.55877616747182
"42","KMps",2406,0.542536115569823
"43","KMps",2392,0.540857605177994
"44","KMps",2452,0.545308740978348
"45","KMps",2340,0.517338709677419
"46","KMps",2481,0.529556650246305
"47","KMps",2480,0.557083333333333
"48","KMps",2460,0.519919517102616
"49","KMps",2304,0.528795811518325
"50","KMps",2442,0.53592934564432
"51","KMps",2483,0.542508417508417
"52","KMps",2482,0.544444444444444
"53","KMps",2246,0.533734939759036
"54","KMps",2485,0.536244541484716
"55","KMps",2403,0.536231884057971
"56","KMps",2484,0.524871355060034
"57","KMps",2432,0.542531542531543
"58","KMps",2470,0.540408163265306
"59","KMps",2484,0.539932030586236
"60","KMps",2479,0.535472972972973
"61","KMps",2433,0.527016129032258
"62","KMps",2371,0.545967741935484
"63","KMps",2482,0.53803888419273
"64","KMps",2479,0.541107382550336
"65","KMps",2484,0.543279686820357
"66","KMps",2476,0.532342306147047
"67","KMps",2483,0.544166666666667
"68","KMps",2357,0.530998389694042
"69","KMps",2409,0.526463512429832
"70","KMps",2464,0.545967741935484
"71","KMps",2478,0.522875816993464
"72","KMps",2184,0.542604501607717
"73","KMps",2455,0.539112903225806
"74","KMps",2422,0.520950846091861
"75","KMps",2480,0.530120481927711
"76","KMps",2483,0.545962199312715
"77","KMps",2480,0.551626016260163
"78","KMps",2426,0.528582930756844
"79","KMps",2484,0.513392857142857
"80","KMps",2481,0.534438775510204
"81","KMps",2485,0.528571428571429
